"id","Feature1","Feature2","Default"
"1",1,-0.48819562242677,-0.219442708874133,0
"2",2,-0.208639285229817,0.43310336483847,0
"3",3,1.52396417727961,-2.83447964601595,1
"4",4,-0.635185356510418,-1.38538342996625,0
"5",5,2.17958949326341,1.08138742618649,0
"6",6,-0.310101344946202,0.124476353559617,0
"7",7,1.09045188253888,-1.4798659677349,1
"8",8,-0.900208230237562,0.514153506652042,0
"9",9,-0.945473168245775,0.487629541969296,0
"10",10,3.04137655403353,-4.64412769833062,1
"11",11,0.10291604152051,-1.39416403439382,0
"12",12,0.794387196350658,1.47311586585386,0
"13",13,2.25905626088034,-3.4403771058125,1
"14",14,0.123963763891466,-0.630752990286659,0
"15",15,0.794380195417669,-0.275220560036689,0
"16",16,0.0170357547771776,1.05647236522851,0
"17",17,2.33557849334185,-1.74300951524809,1
"18",18,-0.577242373305755,-0.0693251080172087,0
"19",19,-0.470478461525659,-1.87376888488165,0
"20",20,3.06930847451424,-1.00232071848844,1
"21",21,1.71058370923643,-2.17158621803176,1
"22",22,-0.014646620894734,-0.271067091645187,0
"23",23,0.206233026044024,0.863671663059114,0
"24",24,0.91819807459446,-0.0847732986378165,0
"25",25,-1.00595254052013,-0.142020080373171,0
"26",26,-0.927057594137019,-0.414155432100215,0
"27",27,0.734391817457065,-0.166984341325924,0
"28",28,-0.0732897932028616,0.962783411098984,0
"29",29,2.44987965068734,-1.4061915985096,1
"30",30,-0.312834070170844,-0.919893611603933,0
"31",31,-0.980894911213753,-0.27515373323847,0
"32",32,1.10496831902961,0.363063285203749,0
"33",33,-0.330977880382526,-0.294530316697621,0
"34",34,-0.640689357433998,0.0906255252388468,0
"35",35,-0.935040909516064,-0.783911973227482,0
"36",36,-1.83448003221554,0.474942473973333,0
"37",37,2.37387300282409,-3.2288859959579,1
"38",38,1.69121094447483,-3.36157158723228,1
"39",39,-0.046133905036588,-0.914353712488424,0
"40",40,1.32096793502459,-2.20115324066314,1
"41",41,1.3217681238872,0.523221289389323,0
"42",42,2.51350278969296,-3.3424719248369,1
"43",43,1.1662752172739,-1.59888288840466,1
"44",44,2.57983733822901,-4.00211528397582,1
"45",45,-0.0565079316605812,-1.8112355003392,1
"46",46,1.088429201736,-0.75556617657235,0
"47",47,0.300821894193295,1.16740120198521,0
"48",48,-0.0417374800297428,0.0242720093041511,0
"49",49,1.92274383360222,0.143304978181181,1
"50",50,-0.783467687363916,-0.00399532899496364,0
"51",51,1.53726014733348,-0.714302903374203,1
"52",52,0.752991352250105,-1.54674986094574,1
"53",53,-1.24894439857679,-0.500681566540362,0
"54",54,0.870353292274463,1.91971630830531,0
"55",55,0.613406299539782,-0.581464695078355,0
"56",56,0.75089088418613,-1.40458865884666,1
"57",57,-0.0544493024491062,1.19547166586038,0
"58",58,-0.168891341423198,-0.905920107435114,0
"59",59,0.454420951874596,-1.90562522562218,1
"60",60,-0.558030671942824,-0.235544780971225,0
"61",61,-1.49833331287703,-0.556308014053374,0
"62",62,-0.917135524522211,-0.608765853674952,0
"63",63,1.64469530527588,-1.58872361035524,1
"64",64,-0.613314673159811,0.769840297608605,0
"65",65,0.287275521231438,-1.96927557524128,1
"66",66,-0.311440164534008,-0.731033203686091,0
"67",67,-0.653747667855349,-1.27180121388558,0
"68",68,3.42243476995624,-1.4717113225113,1
"69",69,2.90962841241752,-1.0856568467453,1
"70",70,-0.408212265108182,-0.755336378197546,0
"71",71,1.0859815631058,0.34399401148138,0
"72",72,0.620679814409936,-0.231780176684937,1
